data,casosNovos,casosAcumulado,obitosNovos,obitosAcumulado
2022-06-30,74891,31835190.0,462,658082
2022-07-01,75372,32124968.0,287,665843
2022-07-02,37770,32253771.0,164,667190
2022-07-03,18566,32363153.0,52,669438
2022-07-04,45495,32293514.0,124,667551
2022-07-05,74844,32368246.0,403,667597
2022-07-06,76870,32428894.0,366,665220
2022-07-07,71885,32420667.0,291,665353
2022-07-08,70496,32236368.0,435,661400
2022-07-09,43448,32568404.0,218,668121
2022-07-10,21985,32699445.0,56,669619
2022-07-11,43594,31852432.0,155,648553
2022-07-12,62840,32214269.0,511,658603
2022-07-13,72031,32735813.0,384,664607
2022-07-14,65275,32877431.0,303,667895
2022-07-15,107659,32730709.0,320,663811
2022-07-16,39854,32947999.0,206,669546
2022-07-17,10899,33026389.0,56,670410
2022-07-18,39533,32834094.0,168,665057
2022-07-19,57888,33103501.0,358,669591
2022-07-20,55778,32681555.0,514,658463
2022-07-21,50558,32727597.0,434,659562
2022-07-22,49571,33184013.0,283,669531
2022-07-23,25842,33281321.0,161,670488
2022-07-24,201575,32488325.0,37,651000
2022-07-25,220957,33073207.0,183,665965
2022-07-26,39717,33154568.0,360,664841
2022-07-27,46727,33384523.0,321,670994
2022-07-28,43901,32702054.0,437,654416
2022-07-29,41446,33086312.0,409,663187
2022-07-30,29723,33350015.0,175,667252
2022-07-31,20433,33407695.0,33,670148
2022-08-01,24076,33333524.0,201,668514
2022-08-02,34541,33275508.0,308,665170
2022-08-03,34583,33544600.0,261,669203
2022-08-04,41019,33504848.0,261,669660
2022-08-05,30050,33225712.0,229,663778
2022-08-06,16547,33489576.0,184,666413
2022-08-07,7180,32462701.0,64,623786
2022-08-08,17757,33106006.0,165,657365
2022-08-09,30582,33718634.0,365,673167
2022-08-10,30972,33637377.0,264,671137
2022-08-11,27261,33146674.0,229,661391
2022-08-12,23678,32861739.0,258,650802
2022-08-13,17755,33606169.0,148,668307
2022-08-14,4492,33550112.0,34,665073
2022-08-15,7997,33463166.0,121,663467
2022-08-16,23188,33349059.0,198,661698
2022-08-17,24583,33335380.0,257,664083
2022-08-18,22470,33585167.0,206,668091
2022-08-19,19882,33272407.0,142,657409
2022-08-20,15442,33420051.0,155,661762
2022-08-21,5063,32367243.0,45,617304
2022-08-22,6876,32952968.0,120,655235
2022-08-23,19894,33420894.0,205,662286
2022-08-24,19741,33353979.0,382,658666
2022-08-25,21037,33196732.0,333,654022
2022-08-26,18332,33666544.0,167,666543
2022-08-27,12412,33242507.0,83,653806
2022-08-28,3504,33741258.0,22,669043
2022-08-29,19197,33853639.0,128,675241
2022-08-30,23503,33513135.0,1581,665599
2022-08-31,15935,33166514.0,1629,655516
2022-09-01,14910,33440038.0,188,660350
2022-09-02,11696,33777014.0,118,667733
2022-09-03,11523,33446487.0,97,657908
2022-09-04,2929,34046567.0,15,675943
2022-09-05,6786,33572409.0,58,669681
2022-09-06,13677,33117980.0,153,657437
2022-09-07,9007,33726797.0,63,668472
2022-09-08,6247,33451981.0,92,667163
2022-09-09,12408,33550437.0,100,662600
2022-09-10,9434,33850946.0,44,670381
2022-09-11,2504,34161175.0,7,675377
2022-09-12,5352,33115945.0,204,656020
2022-09-13,10280,33048845.0,266,655744
2022-09-14,14291,33237015.0,135,661982
2022-09-15,9962,32942200.0,1459,656268
2022-09-16,10533,33605584.0,851,667750
2022-09-17,2910,33643075.0,33,665784
2022-09-18,5069,33755896.0,42,663949
2022-09-19,5968,32723703.0,219,653495
2022-09-20,8884,32935877.0,90,651682
2022-09-21,7328,33373880.0,99,664349
2022-09-22,8819,32285993.0,240,634051
2022-09-23,8032,32874700.0,84,652553
2022-09-24,6717,33764153.0,39,670712
2022-09-25,1275,33889630.0,26,664424
